,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7316172,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6700645,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4281511,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4073938,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Kiss Me More (feat. SZA)","Doja Cat",3645004,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Leave The Door Open","Bruno Mars",3548446,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,"Levitating (feat. DaBaby)","Dua Lipa",3508589,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"deja vu","Olivia Rodrigo",3472824,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"Save Your Tears","The Weeknd",3238127,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,Fiel,"Los Legendarios",3176715,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Heartbreak Anniversary",Giveon,3173057,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",3138138,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,telepatía,"Kali Uchis",2892643,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Blinding Lights","The Weeknd",2600835,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,DÁKITI,"Bad Bunny",2532482,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"Hold On","Justin Bieber",2497829,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
17,Runaway,AURORA,2430359,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
18,"The Business",Tiësto,2406870,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2351436,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,Up,"Cardi B",2282093,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,Arcade,"Duncan Laurence",1949520,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
22,"WITHOUT YOU","The Kid LAROI",1926137,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,"Mood (feat. iann dior)",24kGoldn,1921929,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,Streets,"Doja Cat",1877469,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
25,Bandido,"Myke Towers",1859694,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
26,"Calling My Phone","Lil Tjay",1830498,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
27,"Heat Waves","Glass Animals",1793997,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"Solid (feat. Drake)","Young Stoner Life",1753769,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
29,"Your Love (9PM)",ATB,1744679,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
30,911,Sech,1734142,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
31,"Watermelon Sugar","Harry Styles",1709866,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
32,Dynamite,BTS,1695154,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"LA NOCHE DE ANOCHE","Bad Bunny",1652261,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
34,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1650578,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
35,Am,"Nio Garcia",1649060,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
36,"Someone You Loved","Lewis Capaldi",1631224,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"Goosebumps - Remix","Travis Scott",1627363,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
38,"Don't Start Now","Dua Lipa",1536915,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
39,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1522431,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
40,Anyone,"Justin Bieber",1477425,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
41,"We're Good","Dua Lipa",1474358,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
42,"EL MAKINON","KAROL G",1443139,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
43,"Good Days",SZA,1440191,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
44,"Best Friend (feat. Doja Cat)",Saweetie,1418482,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
45,"Head & Heart (feat. MNEK)","Joel Corry",1411091,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
46,"Ella No Es Tuya - Remix","Rochy RD",1407072,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
47,positions,"Ariana Grande",1390298,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
48,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1360490,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
49,"Hecha Pa' Mi",Boza,1338985,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
50,"Talking to the Moon","Bruno Mars",1322355,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
51,"Paradise (feat. Dermot Kennedy)",MEDUZA,1322269,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
52,"Sweater Weather","The Neighbourhood",1311207,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
53,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1289765,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
54,"you broke me first","Tate McRae",1274936,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
55,"Wants and Needs (feat. Lil Baby)",Drake,1271105,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
56,BED,"Joel Corry",1269102,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
57,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1253113,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
58,"My Head & My Heart","Ava Max",1225046,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
59,34+35,"Ariana Grande",1220911,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
60,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1207015,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
61,"Dance Monkey","Tones And I",1183084,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
62,"Holy (feat. Chance The Rapper)","Justin Bieber",1175466,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
63,"GIRL LIKE ME","Black Eyed Peas",1164987,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
64,"What’s Next",Drake,1161926,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
65,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1158596,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
66,"Before You Go","Lewis Capaldi",1138337,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
67,"Roses - Imanbek Remix","SAINt JHN",1131422,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
68,Whoopty,CJ,1119384,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
69,"Cover Me In Sunshine",P!nk,1119334,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
70,"WAP (feat. Megan Thee Stallion)","Cardi B",1090374,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
71,"Another Love","Tom Odell",1085012,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
72,"lovely (with Khalid)","Billie Eilish",1075924,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,"Cloud 9","Beach Bunny",1070374,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
74,Heather,"Conan Gray",1063766,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
75,Ski,"Young Stoner Life",1063570,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
76,"Therefore I Am","Billie Eilish",1057705,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
77,"Lonely (with benny blanco)","Justin Bieber",1041606,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
78,"What You Know Bout Love","Pop Smoke",1038629,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
